,speaker1,speaker2,grp,part,sent,Distance
0,KEI_EF04_EN057_cnv,KEI_EF05_EN057_cnv,E,,EN057,13.43052243530107
1,KEI_EF04_EN057_cnv,KEI_EF07_EN057_cnv,E,,EN057,12.684037229952773
2,KEI_EF04_EN057_cnv,KEI_EF08_EN057_cnv,E,,EN057,13.943846779045654
3,KEI_EF04_EN057_cnv,KEI_EF09_EN057_cnv,E,,EN057,14.757494289757776
4,KEI_EF04_EN057_cnv,KEI_EM01_EN057_cnv,E,,EN057,13.979850134695655
5,KEI_EF04_EN057_cnv,KEI_EM02_EN057_cnv,E,,EN057,12.684970212609766
6,KEI_EF04_EN057_cnv,KEI_EM03_EN057_cnv,E,,EN057,14.712029989172144
7,KEI_EF04_EN057_cnv,KEI_EM05_EN057_cnv,E,,EN057,15.21129254054811
8,KEI_EF04_EN057_cnv,KEI_EM06_EN057_cnv,E,,EN057,15.98208652936018
9,KEI_EF04_EN057_cnv,KEI_KF01_EN057_cnv,BT,,EN057,17.539486088688825
10,KEI_EF04_EN057_cnv,KEI_KF03_EN057_cnv,BT,,EN057,16.804207141308712
11,KEI_EF04_EN057_cnv,KEI_KF04_EN057_cnv,BT,,EN057,15.411649608603735
12,KEI_EF04_EN057_cnv,KEI_KF05_EN057_cnv,BT,,EN057,17.305733683817973
13,KEI_EF04_EN057_cnv,KEI_KF06_EN057_cnv,BT,,EN057,17.477089308795048
14,KEI_EF04_EN057_cnv,KEI_KM01_EN057_cnv,BT,,EN057,14.612911808867395
15,KEI_EF04_EN057_cnv,KEI_KM03_EN057_cnv,BT,,EN057,15.851206611882427
16,KEI_EF04_EN057_cnv,KEI_KM04_EN057_cnv,BT,,EN057,14.413000156632009
17,KEI_EF04_EN057_cnv,KEI_KM05_EN057_cnv,BT,,EN057,17.63037666370431
18,KEI_EF04_EN057_cnv,KEI_KM06_EN057_cnv,BT,,EN057,16.33847399672949
19,KEI_EF04_EN058_cnv,KEI_EF05_EN058_cnv,E,,EN058,14.350684920161465
20,KEI_EF04_EN058_cnv,KEI_EF07_EN058_cnv,E,,EN058,14.511364224395841
21,KEI_EF04_EN058_cnv,KEI_EF08_EN058_cnv,E,,EN058,13.557240621221291
22,KEI_EF04_EN058_cnv,KEI_EF09_EN058_cnv,E,,EN058,16.082937236854207
23,KEI_EF04_EN058_cnv,KEI_EM01_EN058_cnv,E,,EN058,14.413005228314555
24,KEI_EF04_EN058_cnv,KEI_EM02_EN058_cnv,E,,EN058,14.568322269703893
25,KEI_EF04_EN058_cnv,KEI_EM03_EN058_cnv,E,,EN058,14.10624935
26,KEI_EF04_EN058_cnv,KEI_EM05_EN058_cnv,E,,EN058,14.768880379304528
27,KEI_EF04_EN058_cnv,KEI_EM06_EN058_cnv,E,,EN058,15.956332672604596
28,KEI_EF04_EN058_cnv,KEI_KF01_EN058_cnv,BT,,EN058,16.934692364481478
29,KEI_EF04_EN058_cnv,KEI_KF03_EN058_cnv,BT,,EN058,17.04350782375116
30,KEI_EF04_EN058_cnv,KEI_KF04_EN058_cnv,BT,,EN058,15.91528891891566
31,KEI_EF04_EN058_cnv,KEI_KF05_EN058_cnv,BT,,EN058,18.099466302265387
32,KEI_EF04_EN058_cnv,KEI_KF06_EN058_cnv,BT,,EN058,18.484304081913862
33,KEI_EF04_EN058_cnv,KEI_KM01_EN058_cnv,BT,,EN058,15.961260589440545
34,KEI_EF04_EN058_cnv,KEI_KM03_EN058_cnv,BT,,EN058,17.832590965842886
35,KEI_EF04_EN058_cnv,KEI_KM04_EN058_cnv,BT,,EN058,15.336468835844808
36,KEI_EF04_EN058_cnv,KEI_KM06_EN058_cnv,BT,,EN058,16.939324366074338
37,KEI_EF04_EN059_cnv,KEI_EF05_EN059_cnv,E,,EN059,12.593916097012196
38,KEI_EF04_EN059_cnv,KEI_EF07_EN059_cnv,E,,EN059,12.921993250868573
39,KEI_EF04_EN059_cnv,KEI_EF08_EN059_cnv,E,,EN059,14.49209231210233
40,KEI_EF04_EN059_cnv,KEI_EF09_EN059_cnv,E,,EN059,15.248267561964555
41,KEI_EF04_EN059_cnv,KEI_EM01_EN059_cnv,E,,EN059,13.48326562167696
42,KEI_EF04_EN059_cnv,KEI_EM02_EN059_cnv,E,,EN059,13.481096767105743
43,KEI_EF04_EN059_cnv,KEI_EM03_EN059_cnv,E,,EN059,14.516698564193788
44,KEI_EF04_EN059_cnv,KEI_EM05_EN059_cnv,E,,EN059,14.749762278132234
45,KEI_EF04_EN059_cnv,KEI_EM06_EN059_cnv,E,,EN059,15.562570793975775
46,KEI_EF04_EN059_cnv,KEI_KF01_EN059_cnv,BT,,EN059,17.028492008374027
47,KEI_EF04_EN059_cnv,KEI_KF03_EN059_cnv,BT,,EN059,15.47332333679751
48,KEI_EF04_EN059_cnv,KEI_KF04_EN059_cnv,BT,,EN059,15.946638897561725
49,KEI_EF04_EN059_cnv,KEI_KF05_EN059_cnv,BT,,EN059,17.91545508418133
