,speaker1,speaker2,grp,part,sent,Distance
0,ALL_005_M_CMN_ENG_HT1_sent3,ALL_011_F_CMN_ENG_HT1_sent3,C,HT1,sent3,0.219921671279231
1,ALL_005_M_CMN_ENG_HT1_sent3,ALL_012_M_CMN_ENG_HT1_sent3,C,HT1,sent3,0.1919125036547207
2,ALL_005_M_CMN_ENG_HT1_sent3,ALL_016_M_CMN_ENG_HT1_sent3,C,HT1,sent3,0.1637890118223894
3,ALL_005_M_CMN_ENG_HT1_sent3,ALL_018_F_CMN_ENG_HT1_sent3,C,HT1,sent3,0.2504807447600607
4,ALL_005_M_CMN_ENG_HT1_sent3,ALL_020_M_CMN_ENG_HT1_sent3,C,HT1,sent3,0.1905966364601359
5,ALL_005_M_CMN_ENG_HT1_sent3,ALL_021_M_CMN_ENG_HT1_sent3,C,HT1,sent3,0.180242215188286
6,ALL_005_M_CMN_ENG_HT1_sent3,ALL_030_F_CMN_ENG_HT1_sent3,C,HT1,sent3,0.19142093688197304
7,ALL_005_M_CMN_ENG_HT1_sent3,ALL_032_M_CMN_ENG_HT1_sent3,C,HT1,sent3,0.1722622060104069
8,ALL_005_M_CMN_ENG_HT1_sent3,ALL_033_M_CMN_ENG_HT1_sent3,C,HT1,sent3,0.2460089975371537
9,ALL_005_M_CMN_ENG_HT1_sent3,ALL_035_M_CMN_ENG_HT1_sent3,C,HT1,sent3,0.24008238896325498
10,ALL_005_M_CMN_ENG_HT1_sent3,ALL_037_M_CMN_ENG_HT1_sent3,C,HT1,sent3,0.2221780390993826
11,ALL_005_M_CMN_ENG_HT1_sent3,ALL_039_M_CMN_ENG_HT1_sent3,C,HT1,sent3,0.1951350277446787
12,ALL_005_M_CMN_ENG_HT1_sent3,ALL_043_M_CMN_ENG_HT1_sent3,C,HT1,sent3,0.1675152786474268
13,ALL_005_M_CMN_ENG_HT1_sent3,ALL_049_F_ENG_ENG_HT1_sent3,BT,HT1,sent3,0.1945368134053084
14,ALL_005_M_CMN_ENG_HT1_sent3,ALL_050_M_ENG_ENG_HT1_sent3,BT,HT1,sent3,0.2032012608685262
15,ALL_005_M_CMN_ENG_HT1_sent3,ALL_051_F_ENG_ENG_HT1_sent3,BT,HT1,sent3,0.1772913987867883
16,ALL_005_M_CMN_ENG_HT1_sent3,ALL_053_M_ENG_ENG_HT1_sent3,BT,HT1,sent3,0.2318219473475705
17,ALL_005_M_CMN_ENG_HT1_sent3,ALL_055_M_ENG_ENG_HT1_sent3,BT,HT1,sent3,0.2959949666906037
18,ALL_005_M_CMN_ENG_HT1_sent3,ALL_056_F_ENG_ENG_HT1_sent3,BT,HT1,sent3,0.1934133580660717
19,ALL_005_M_CMN_ENG_HT1_sent3,ALL_057_M_ENG_ENG_HT1_sent3,BT,HT1,sent3,0.2486633733547336
20,ALL_005_M_CMN_ENG_HT1_sent3,ALL_058_F_ENG_ENG_HT1_sent3,BT,HT1,sent3,0.23594643725060999
21,ALL_005_M_CMN_ENG_HT1_sent3,ALL_059_M_ENG_ENG_HT1_sent3,BT,HT1,sent3,0.1973073063301637
22,ALL_005_M_CMN_ENG_HT1_sent3,ALL_060_F_ENG_ENG_HT1_sent3,BT,HT1,sent3,0.2170837319168772
23,ALL_005_M_CMN_ENG_HT1_sent3,ALL_061_M_ENG_ENG_HT1_sent3,BT,HT1,sent3,0.2225376667258392
24,ALL_005_M_CMN_ENG_HT1_sent3,ALL_062_F_ENG_ENG_HT1_sent3,BT,HT1,sent3,0.1990734522227056
25,ALL_005_M_CMN_ENG_HT1_sent3,ALL_063_F_ENG_ENG_HT1_sent3,BT,HT1,sent3,0.2157665686923944
