,speaker1,speaker2,grp,part,sent,Distance
0,KEI_EF04_EN001_cnv,KEI_EF05_EN001_cnv,E,,EN001,0.07754568341700231
1,KEI_EF04_EN001_cnv,KEI_EF07_EN001_cnv,E,,EN001,0.1425685064460669
2,KEI_EF04_EN001_cnv,KEI_EF08_EN001_cnv,E,,EN001,0.08794779840528774
3,KEI_EF04_EN001_cnv,KEI_EF09_EN001_cnv,E,,EN001,0.0731175258969874
4,KEI_EF04_EN001_cnv,KEI_EM01_EN001_cnv,E,,EN001,0.1599793074006473
5,KEI_EF04_EN001_cnv,KEI_EM02_EN001_cnv,E,,EN001,0.11190975221477699
6,KEI_EF04_EN001_cnv,KEI_EM03_EN001_cnv,E,,EN001,0.1096262554354685
7,KEI_EF04_EN001_cnv,KEI_EM05_EN001_cnv,E,,EN001,0.1767113350699357
8,KEI_EF04_EN001_cnv,KEI_EM06_EN001_cnv,E,,EN001,0.2357186283395818
9,KEI_EF04_EN001_cnv,KEI_KF01_EN001_cnv,BT,,EN001,0.1738559605245399
10,KEI_EF04_EN001_cnv,KEI_KF03_EN001_cnv,BT,,EN001,0.1043771325349704
11,KEI_EF04_EN001_cnv,KEI_KF04_EN001_cnv,BT,,EN001,0.1296091771417833
12,KEI_EF04_EN001_cnv,KEI_KF05_EN001_cnv,BT,,EN001,0.2311435360129264
13,KEI_EF04_EN001_cnv,KEI_KF06_EN001_cnv,BT,,EN001,0.2155513992537872
14,KEI_EF04_EN001_cnv,KEI_KM01_EN001_cnv,BT,,EN001,0.1243320610402398
15,KEI_EF04_EN001_cnv,KEI_KM03_EN001_cnv,BT,,EN001,0.1493214821480242
16,KEI_EF04_EN001_cnv,KEI_KM04_EN001_cnv,BT,,EN001,0.1554348102003623
17,KEI_EF04_EN001_cnv,KEI_KM05_EN001_cnv,BT,,EN001,0.1609609970635289
18,KEI_EF04_EN001_cnv,KEI_KM06_EN001_cnv,BT,,EN001,0.2110445260373665
19,KEI_EF04_EN002_cnv,KEI_EF05_EN002_cnv,E,,EN002,0.08272991088001153
20,KEI_EF04_EN002_cnv,KEI_EF07_EN002_cnv,E,,EN002,0.1023936220836296
21,KEI_EF04_EN002_cnv,KEI_EF08_EN002_cnv,E,,EN002,0.1491994685249106
22,KEI_EF04_EN002_cnv,KEI_EF09_EN002_cnv,E,,EN002,0.1492381619006585
23,KEI_EF04_EN002_cnv,KEI_EM01_EN002_cnv,E,,EN002,0.1532024417668459
24,KEI_EF04_EN002_cnv,KEI_EM02_EN002_cnv,E,,EN002,0.2061456919540975
25,KEI_EF04_EN002_cnv,KEI_EM03_EN002_cnv,E,,EN002,0.2159486260165945
26,KEI_EF04_EN002_cnv,KEI_EM05_EN002_cnv,E,,EN002,0.1926298222885467
27,KEI_EF04_EN002_cnv,KEI_EM06_EN002_cnv,E,,EN002,0.2913366383124987
28,KEI_EF04_EN002_cnv,KEI_KF01_EN002_cnv,BT,,EN002,0.2382502195889538
29,KEI_EF04_EN002_cnv,KEI_KF03_EN002_cnv,BT,,EN002,0.1892430361695985
30,KEI_EF04_EN002_cnv,KEI_KF04_EN002_cnv,BT,,EN002,0.2486624772030721
31,KEI_EF04_EN002_cnv,KEI_KF05_EN002_cnv,BT,,EN002,0.2934153822057485
32,KEI_EF04_EN002_cnv,KEI_KF06_EN002_cnv,BT,,EN002,0.2965952982063479
33,KEI_EF04_EN002_cnv,KEI_KM01_EN002_cnv,BT,,EN002,0.2260075894922649
34,KEI_EF04_EN002_cnv,KEI_KM03_EN002_cnv,BT,,EN002,0.2738780923848696
35,KEI_EF04_EN002_cnv,KEI_KM04_EN002_cnv,BT,,EN002,0.3214328496189468
36,KEI_EF04_EN002_cnv,KEI_KM05_EN002_cnv,BT,,EN002,0.1668701446926283
37,KEI_EF04_EN002_cnv,KEI_KM06_EN002_cnv,BT,,EN002,0.2878832967664769
38,KEI_EF04_EN003_cnv,KEI_EF05_EN003_cnv,E,,EN003,0.1338925812728575
39,KEI_EF04_EN003_cnv,KEI_EF07_EN003_cnv,E,,EN003,0.1996622898458791
40,KEI_EF04_EN003_cnv,KEI_EF09_EN003_cnv,E,,EN003,0.2044174994549764
41,KEI_EF04_EN003_cnv,KEI_EM01_EN003_cnv,E,,EN003,0.1670165151030452
42,KEI_EF04_EN003_cnv,KEI_EM02_EN003_cnv,E,,EN003,0.2189136263681763
43,KEI_EF04_EN003_cnv,KEI_EM03_EN003_cnv,E,,EN003,0.18192462584767602
44,KEI_EF04_EN003_cnv,KEI_EM05_EN003_cnv,E,,EN003,0.2705383700363954
45,KEI_EF04_EN003_cnv,KEI_EM06_EN003_cnv,E,,EN003,0.2044642838269741
46,KEI_EF04_EN003_cnv,KEI_KF01_EN003_cnv,BT,,EN003,0.2796310886015869
47,KEI_EF04_EN003_cnv,KEI_KF03_EN003_cnv,BT,,EN003,0.1846614501093104
48,KEI_EF04_EN003_cnv,KEI_KF04_EN003_cnv,BT,,EN003,0.3085392945060936
49,KEI_EF04_EN003_cnv,KEI_KF05_EN003_cnv,BT,,EN003,0.515351144687329
50,KEI_EF04_EN003_cnv,KEI_KF06_EN003_cnv,BT,,EN003,0.2653378218530891
51,KEI_EF04_EN003_cnv,KEI_KM01_EN003_cnv,BT,,EN003,0.250948227437102
52,KEI_EF04_EN003_cnv,KEI_KM03_EN003_cnv,BT,,EN003,0.3021007539911273
53,KEI_EF04_EN003_cnv,KEI_KM04_EN003_cnv,BT,,EN003,0.24763016937082802
54,KEI_EF04_EN003_cnv,KEI_KM05_EN003_cnv,BT,,EN003,0.2476965386137849
55,KEI_EF04_EN003_cnv,KEI_KM06_EN003_cnv,BT,,EN003,0.349391683885344
56,KEI_EF04_EN004_cnv,KEI_EF05_EN004_cnv,E,,EN004,0.1301587809406283
57,KEI_EF04_EN004_cnv,KEI_EF07_EN004_cnv,E,,EN004,0.08987400855551342
58,KEI_EF04_EN004_cnv,KEI_EF08_EN004_cnv,E,,EN004,0.1319972069202444
59,KEI_EF04_EN004_cnv,KEI_EF09_EN004_cnv,E,,EN004,0.1604311645996944
60,KEI_EF04_EN004_cnv,KEI_EM01_EN004_cnv,E,,EN004,0.1938735686720154
61,KEI_EF04_EN004_cnv,KEI_EM02_EN004_cnv,E,,EN004,0.1689083935942587
62,KEI_EF04_EN004_cnv,KEI_EM03_EN004_cnv,E,,EN004,0.236834425525698
63,KEI_EF04_EN004_cnv,KEI_EM05_EN004_cnv,E,,EN004,0.20715307342266898
64,KEI_EF04_EN004_cnv,KEI_EM06_EN004_cnv,E,,EN004,0.2819449765075452
65,KEI_EF04_EN004_cnv,KEI_KF01_EN004_cnv,BT,,EN004,0.3722344021685391
66,KEI_EF04_EN004_cnv,KEI_KF03_EN004_cnv,BT,,EN004,0.1953769275816233
67,KEI_EF04_EN004_cnv,KEI_KF04_EN004_cnv,BT,,EN004,0.3439088238581232
68,KEI_EF04_EN004_cnv,KEI_KF05_EN004_cnv,BT,,EN004,0.4015273023923567
69,KEI_EF04_EN004_cnv,KEI_KF06_EN004_cnv,BT,,EN004,0.3224560172990673
70,KEI_EF04_EN004_cnv,KEI_KM01_EN004_cnv,BT,,EN004,0.2654487029622993
71,KEI_EF04_EN004_cnv,KEI_KM03_EN004_cnv,BT,,EN004,0.3351961323598451
72,KEI_EF04_EN004_cnv,KEI_KM04_EN004_cnv,BT,,EN004,0.2620240515487827
73,KEI_EF04_EN004_cnv,KEI_KM05_EN004_cnv,BT,,EN004,0.2523480777719362
74,KEI_EF04_EN004_cnv,KEI_KM06_EN004_cnv,BT,,EN004,0.3783449899717335
75,KEI_EF04_EN005_cnv,KEI_EF05_EN005_cnv,E,,EN005,0.1152644305259394
76,KEI_EF04_EN005_cnv,KEI_EF07_EN005_cnv,E,,EN005,0.06607478534271535
77,KEI_EF04_EN005_cnv,KEI_EF08_EN005_cnv,E,,EN005,0.1275432487726618
78,KEI_EF04_EN005_cnv,KEI_EF09_EN005_cnv,E,,EN005,0.1333855747505813
79,KEI_EF04_EN005_cnv,KEI_EM01_EN005_cnv,E,,EN005,0.1139997750912008
80,KEI_EF04_EN005_cnv,KEI_EM02_EN005_cnv,E,,EN005,0.149573649281544
81,KEI_EF04_EN005_cnv,KEI_EM03_EN005_cnv,E,,EN005,0.1476970634027618
82,KEI_EF04_EN005_cnv,KEI_EM05_EN005_cnv,E,,EN005,0.1879037636253338
83,KEI_EF04_EN005_cnv,KEI_KF01_EN005_cnv,BT,,EN005,0.2986969861979538
84,KEI_EF04_EN005_cnv,KEI_KF03_EN005_cnv,BT,,EN005,0.1733169521073423
85,KEI_EF04_EN005_cnv,KEI_KF04_EN005_cnv,BT,,EN005,0.1904832384919381
86,KEI_EF04_EN005_cnv,KEI_KF05_EN005_cnv,BT,,EN005,0.2791606553218586
87,KEI_EF04_EN005_cnv,KEI_KF06_EN005_cnv,BT,,EN005,0.2526509124091106
88,KEI_EF04_EN005_cnv,KEI_KM01_EN005_cnv,BT,,EN005,0.1805147754229225
89,KEI_EF04_EN005_cnv,KEI_KM03_EN005_cnv,BT,,EN005,0.21209216901182998
90,KEI_EF04_EN005_cnv,KEI_KM04_EN005_cnv,BT,,EN005,0.1457415050872105
91,KEI_EF04_EN005_cnv,KEI_KM06_EN005_cnv,BT,,EN005,0.2171464924803202
92,KEI_EF04_EN006_cnv,KEI_EF05_EN006_cnv,E,,EN006,0.1612004010221956
93,KEI_EF04_EN006_cnv,KEI_EF07_EN006_cnv,E,,EN006,0.111985043020752
94,KEI_EF04_EN006_cnv,KEI_EF08_EN006_cnv,E,,EN006,0.1824364089239246
95,KEI_EF04_EN006_cnv,KEI_EF09_EN006_cnv,E,,EN006,0.1190964187780185
96,KEI_EF04_EN006_cnv,KEI_EM01_EN006_cnv,E,,EN006,0.20159770671048
97,KEI_EF04_EN006_cnv,KEI_EM02_EN006_cnv,E,,EN006,0.2312100539885655
98,KEI_EF04_EN006_cnv,KEI_EM03_EN006_cnv,E,,EN006,0.3013348928229171
99,KEI_EF04_EN006_cnv,KEI_EM05_EN006_cnv,E,,EN006,0.2563110261062265
100,KEI_EF04_EN006_cnv,KEI_EM06_EN006_cnv,E,,EN006,0.247782687585848
101,KEI_EF04_EN006_cnv,KEI_KF01_EN006_cnv,BT,,EN006,0.2477525040023657
102,KEI_EF04_EN006_cnv,KEI_KF03_EN006_cnv,BT,,EN006,0.215073145954258
103,KEI_EF04_EN006_cnv,KEI_KF04_EN006_cnv,BT,,EN006,0.2139689374394558
104,KEI_EF04_EN006_cnv,KEI_KF05_EN006_cnv,BT,,EN006,0.2636691991175328
105,KEI_EF04_EN006_cnv,KEI_KF06_EN006_cnv,BT,,EN006,0.25203922848757004
106,KEI_EF04_EN006_cnv,KEI_KM01_EN006_cnv,BT,,EN006,0.1644230243143836
107,KEI_EF04_EN006_cnv,KEI_KM03_EN006_cnv,BT,,EN006,0.2648589071970722
108,KEI_EF04_EN006_cnv,KEI_KM04_EN006_cnv,BT,,EN006,0.1935542280719203
109,KEI_EF04_EN006_cnv,KEI_KM05_EN006_cnv,BT,,EN006,0.2610728856914952
110,KEI_EF04_EN006_cnv,KEI_KM06_EN006_cnv,BT,,EN006,0.3436829533349304
111,KEI_EF04_EN007_cnv,KEI_EF05_EN007_cnv,E,,EN007,0.09597042864307144
112,KEI_EF04_EN007_cnv,KEI_EF07_EN007_cnv,E,,EN007,0.0901749146201762
113,KEI_EF04_EN007_cnv,KEI_EF08_EN007_cnv,E,,EN007,0.144718710998908
114,KEI_EF04_EN007_cnv,KEI_EF09_EN007_cnv,E,,EN007,0.0797814241430606
115,KEI_EF04_EN007_cnv,KEI_EM01_EN007_cnv,E,,EN007,0.2206364427869202
116,KEI_EF04_EN007_cnv,KEI_EM02_EN007_cnv,E,,EN007,0.1187750630586946
117,KEI_EF04_EN007_cnv,KEI_EM03_EN007_cnv,E,,EN007,0.1631939941654988
118,KEI_EF04_EN007_cnv,KEI_EM05_EN007_cnv,E,,EN007,0.1653314771094019
119,KEI_EF04_EN007_cnv,KEI_EM06_EN007_cnv,E,,EN007,0.1915352414531443
120,KEI_EF04_EN007_cnv,KEI_KF01_EN007_cnv,BT,,EN007,0.2766491114110003
121,KEI_EF04_EN007_cnv,KEI_KF03_EN007_cnv,BT,,EN007,0.1885905482255709
122,KEI_EF04_EN007_cnv,KEI_KF04_EN007_cnv,BT,,EN007,0.1524328704085948
123,KEI_EF04_EN007_cnv,KEI_KF05_EN007_cnv,BT,,EN007,0.3723698306386788
124,KEI_EF04_EN007_cnv,KEI_KF06_EN007_cnv,BT,,EN007,0.2915783125097574
125,KEI_EF04_EN007_cnv,KEI_KM01_EN007_cnv,BT,,EN007,0.2406002536961179
126,KEI_EF04_EN007_cnv,KEI_KM03_EN007_cnv,BT,,EN007,0.277388822806066
127,KEI_EF04_EN007_cnv,KEI_KM04_EN007_cnv,BT,,EN007,0.1965635778376057
128,KEI_EF04_EN007_cnv,KEI_KM05_EN007_cnv,BT,,EN007,0.1739626771466757
129,KEI_EF04_EN007_cnv,KEI_KM06_EN007_cnv,BT,,EN007,0.2844988726818732
130,KEI_EF04_EN008_cnv,KEI_EF05_EN008_cnv,E,,EN008,0.1387751796741586
