,speaker1,speaker2,grp,part,sent,Distance
0,KEI_EF04_EN001_cnv,KEI_EF05_EN001_cnv,E,,EN001,0.032327823043202135
1,KEI_EF04_EN001_cnv,KEI_EF07_EN001_cnv,E,,EN001,0.04693257205287737
2,KEI_EF04_EN001_cnv,KEI_EF08_EN001_cnv,E,,EN001,0.045320523044261866
3,KEI_EF04_EN001_cnv,KEI_EF09_EN001_cnv,E,,EN001,0.029437288053688768
4,KEI_EF04_EN001_cnv,KEI_EM01_EN001_cnv,E,,EN001,0.1037794497310757
5,KEI_EF04_EN001_cnv,KEI_EM02_EN001_cnv,E,,EN001,0.04860525600406496
6,KEI_EF04_EN001_cnv,KEI_EM03_EN001_cnv,E,,EN001,0.051925717523341935
7,KEI_EF04_EN001_cnv,KEI_EM05_EN001_cnv,E,,EN001,0.06256647087654081
8,KEI_EF04_EN001_cnv,KEI_EM06_EN001_cnv,E,,EN001,0.07174102712361438
9,KEI_EF04_EN001_cnv,KEI_KF01_EN001_cnv,BT,,EN001,0.09076021072534443
10,KEI_EF04_EN001_cnv,KEI_KF03_EN001_cnv,BT,,EN001,0.05129441794817387
11,KEI_EF04_EN001_cnv,KEI_KF04_EN001_cnv,BT,,EN001,0.06578253745049298
12,KEI_EF04_EN001_cnv,KEI_KF05_EN001_cnv,BT,,EN001,0.1368619652441948
13,KEI_EF04_EN001_cnv,KEI_KF06_EN001_cnv,BT,,EN001,0.1111936121972103
14,KEI_EF04_EN001_cnv,KEI_KM01_EN001_cnv,BT,,EN001,0.05151873976884224
15,KEI_EF04_EN001_cnv,KEI_KM03_EN001_cnv,BT,,EN001,0.06041602131321545
16,KEI_EF04_EN001_cnv,KEI_KM04_EN001_cnv,BT,,EN001,0.06773985350704698
17,KEI_EF04_EN001_cnv,KEI_KM05_EN001_cnv,BT,,EN001,0.1044369242496796
18,KEI_EF04_EN001_cnv,KEI_KM06_EN001_cnv,BT,,EN001,0.1006159804991693
19,KEI_EF04_EN002_cnv,KEI_EF05_EN002_cnv,E,,EN002,0.04120909944325808
20,KEI_EF04_EN002_cnv,KEI_EF07_EN002_cnv,E,,EN002,0.062387317984518374
21,KEI_EF04_EN002_cnv,KEI_EF08_EN002_cnv,E,,EN002,0.1313966131095824
22,KEI_EF04_EN002_cnv,KEI_EF09_EN002_cnv,E,,EN002,0.1012331801993836
23,KEI_EF04_EN002_cnv,KEI_EM01_EN002_cnv,E,,EN002,0.11376003312706501
24,KEI_EF04_EN002_cnv,KEI_EM02_EN002_cnv,E,,EN002,0.1352427634097572
25,KEI_EF04_EN002_cnv,KEI_EM03_EN002_cnv,E,,EN002,0.1897739668657748
26,KEI_EF04_EN002_cnv,KEI_EM05_EN002_cnv,E,,EN002,0.1397418056887617
27,KEI_EF04_EN002_cnv,KEI_EM06_EN002_cnv,E,,EN002,0.1475111245801401
28,KEI_EF04_EN002_cnv,KEI_KF01_EN002_cnv,BT,,EN002,0.2077143644949334
29,KEI_EF04_EN002_cnv,KEI_KF03_EN002_cnv,BT,,EN002,0.1376198336370359
30,KEI_EF04_EN002_cnv,KEI_KF04_EN002_cnv,BT,,EN002,0.1511848401352596
31,KEI_EF04_EN002_cnv,KEI_KF05_EN002_cnv,BT,,EN002,0.2160245791876803
32,KEI_EF04_EN002_cnv,KEI_KF06_EN002_cnv,BT,,EN002,0.2537331853941848
33,KEI_EF04_EN002_cnv,KEI_KM01_EN002_cnv,BT,,EN002,0.1394814194038886
34,KEI_EF04_EN002_cnv,KEI_KM03_EN002_cnv,BT,,EN002,0.250645941873918
35,KEI_EF04_EN002_cnv,KEI_KM04_EN002_cnv,BT,,EN002,0.2628271299195626
36,KEI_EF04_EN002_cnv,KEI_KM05_EN002_cnv,BT,,EN002,0.1498310488740718
37,KEI_EF04_EN002_cnv,KEI_KM06_EN002_cnv,BT,,EN002,0.2164780597713043
38,KEI_EF04_EN003_cnv,KEI_EF05_EN003_cnv,E,,EN003,0.120376146254077
39,KEI_EF04_EN003_cnv,KEI_EF07_EN003_cnv,E,,EN003,0.1558354562846657
40,KEI_EF04_EN003_cnv,KEI_EF09_EN003_cnv,E,,EN003,0.1215561431124594
41,KEI_EF04_EN003_cnv,KEI_EM01_EN003_cnv,E,,EN003,0.09029846123752967
42,KEI_EF04_EN003_cnv,KEI_EM02_EN003_cnv,E,,EN003,0.1845859864818973
43,KEI_EF04_EN003_cnv,KEI_EM03_EN003_cnv,E,,EN003,0.1605190315126086
44,KEI_EF04_EN003_cnv,KEI_EM05_EN003_cnv,E,,EN003,0.1871941519705729
45,KEI_EF04_EN003_cnv,KEI_EM06_EN003_cnv,E,,EN003,0.1587180528128131
46,KEI_EF04_EN003_cnv,KEI_KF01_EN003_cnv,BT,,EN003,0.2162168500104012
47,KEI_EF04_EN003_cnv,KEI_KF03_EN003_cnv,BT,,EN003,0.188796276345913
48,KEI_EF04_EN003_cnv,KEI_KF04_EN003_cnv,BT,,EN003,0.2089602981794371
49,KEI_EF04_EN003_cnv,KEI_KF05_EN003_cnv,BT,,EN003,0.4295326404888269
50,KEI_EF04_EN003_cnv,KEI_KF06_EN003_cnv,BT,,EN003,0.2096173700110307
51,KEI_EF04_EN003_cnv,KEI_KM01_EN003_cnv,BT,,EN003,0.1399354561384389
52,KEI_EF04_EN003_cnv,KEI_KM03_EN003_cnv,BT,,EN003,0.2708829569050606
53,KEI_EF04_EN003_cnv,KEI_KM04_EN003_cnv,BT,,EN003,0.1934025084081679
54,KEI_EF04_EN003_cnv,KEI_KM05_EN003_cnv,BT,,EN003,0.1590645599281743
55,KEI_EF04_EN003_cnv,KEI_KM06_EN003_cnv,BT,,EN003,0.2483769791509658
56,KEI_EF04_EN004_cnv,KEI_EF05_EN004_cnv,E,,EN004,0.04657135680017791
57,KEI_EF04_EN004_cnv,KEI_EF07_EN004_cnv,E,,EN004,0.053044850854595
58,KEI_EF04_EN004_cnv,KEI_EF08_EN004_cnv,E,,EN004,0.0595968201526674
59,KEI_EF04_EN004_cnv,KEI_EF09_EN004_cnv,E,,EN004,0.0489011063229638
60,KEI_EF04_EN004_cnv,KEI_EM01_EN004_cnv,E,,EN004,0.1608592020926945
61,KEI_EF04_EN004_cnv,KEI_EM02_EN004_cnv,E,,EN004,0.056827935173797986
62,KEI_EF04_EN004_cnv,KEI_EM03_EN004_cnv,E,,EN004,0.08299152002257339
63,KEI_EF04_EN004_cnv,KEI_EM05_EN004_cnv,E,,EN004,0.06672054191687174
64,KEI_EF04_EN004_cnv,KEI_EM06_EN004_cnv,E,,EN004,0.07776672061015344
65,KEI_EF04_EN004_cnv,KEI_KF01_EN004_cnv,BT,,EN004,0.2571216888982071
66,KEI_EF04_EN004_cnv,KEI_KF03_EN004_cnv,BT,,EN004,0.1524507770246149
67,KEI_EF04_EN004_cnv,KEI_KF04_EN004_cnv,BT,,EN004,0.2065265400827339
68,KEI_EF04_EN004_cnv,KEI_KF05_EN004_cnv,BT,,EN004,0.2827568949239327
69,KEI_EF04_EN004_cnv,KEI_KF06_EN004_cnv,BT,,EN004,0.1896539605844911
70,KEI_EF04_EN004_cnv,KEI_KM01_EN004_cnv,BT,,EN004,0.1938020819271704
71,KEI_EF04_EN004_cnv,KEI_KM03_EN004_cnv,BT,,EN004,0.3130639560791522
72,KEI_EF04_EN004_cnv,KEI_KM04_EN004_cnv,BT,,EN004,0.1886986139427591
73,KEI_EF04_EN004_cnv,KEI_KM05_EN004_cnv,BT,,EN004,0.1696553141566311
74,KEI_EF04_EN004_cnv,KEI_KM06_EN004_cnv,BT,,EN004,0.2933550075543322
75,KEI_EF04_EN005_cnv,KEI_EF05_EN005_cnv,E,,EN005,0.053958410458694414
76,KEI_EF04_EN005_cnv,KEI_EF07_EN005_cnv,E,,EN005,0.05063907223428392
77,KEI_EF04_EN005_cnv,KEI_EF08_EN005_cnv,E,,EN005,0.06075742259846328
78,KEI_EF04_EN005_cnv,KEI_EF09_EN005_cnv,E,,EN005,0.045010739858890016
79,KEI_EF04_EN005_cnv,KEI_EM01_EN005_cnv,E,,EN005,0.08340189943569726
80,KEI_EF04_EN005_cnv,KEI_EM02_EN005_cnv,E,,EN005,0.05531984850579358
81,KEI_EF04_EN005_cnv,KEI_EM03_EN005_cnv,E,,EN005,0.06367855990172316
82,KEI_EF04_EN005_cnv,KEI_EM05_EN005_cnv,E,,EN005,0.07439502535857281
83,KEI_EF04_EN005_cnv,KEI_KF01_EN005_cnv,BT,,EN005,0.1306131175620834
84,KEI_EF04_EN005_cnv,KEI_KF03_EN005_cnv,BT,,EN005,0.0784483604957798
85,KEI_EF04_EN005_cnv,KEI_KF04_EN005_cnv,BT,,EN005,0.0827038378049165
86,KEI_EF04_EN005_cnv,KEI_KF05_EN005_cnv,BT,,EN005,0.158846073701782
87,KEI_EF04_EN005_cnv,KEI_KF06_EN005_cnv,BT,,EN005,0.09166315149011324
88,KEI_EF04_EN005_cnv,KEI_KM01_EN005_cnv,BT,,EN005,0.07267923462202094
89,KEI_EF04_EN005_cnv,KEI_KM03_EN005_cnv,BT,,EN005,0.1247914100575492
90,KEI_EF04_EN005_cnv,KEI_KM04_EN005_cnv,BT,,EN005,0.06111798198966228
91,KEI_EF04_EN005_cnv,KEI_KM06_EN005_cnv,BT,,EN005,0.08258056483532758
92,KEI_EF04_EN006_cnv,KEI_EF05_EN006_cnv,E,,EN006,0.04806626060062987
93,KEI_EF04_EN006_cnv,KEI_EF07_EN006_cnv,E,,EN006,0.0357809004350468
94,KEI_EF04_EN006_cnv,KEI_EF08_EN006_cnv,E,,EN006,0.06811080765318295
95,KEI_EF04_EN006_cnv,KEI_EF09_EN006_cnv,E,,EN006,0.03178380811098795
96,KEI_EF04_EN006_cnv,KEI_EM01_EN006_cnv,E,,EN006,0.08251817805014422
97,KEI_EF04_EN006_cnv,KEI_EM02_EN006_cnv,E,,EN006,0.07014028792349293
98,KEI_EF04_EN006_cnv,KEI_EM03_EN006_cnv,E,,EN006,0.1122301219423475
99,KEI_EF04_EN006_cnv,KEI_EM05_EN006_cnv,E,,EN006,0.06341984870104883
100,KEI_EF04_EN006_cnv,KEI_EM06_EN006_cnv,E,,EN006,0.1320800259425179
101,KEI_EF04_EN006_cnv,KEI_KF01_EN006_cnv,BT,,EN006,0.1153213969922839
102,KEI_EF04_EN006_cnv,KEI_KF03_EN006_cnv,BT,,EN006,0.07711229103434315
103,KEI_EF04_EN006_cnv,KEI_KF04_EN006_cnv,BT,,EN006,0.08266210563761263
104,KEI_EF04_EN006_cnv,KEI_KF05_EN006_cnv,BT,,EN006,0.08373486182296902
105,KEI_EF04_EN006_cnv,KEI_KF06_EN006_cnv,BT,,EN006,0.1341857739197994
106,KEI_EF04_EN006_cnv,KEI_KM01_EN006_cnv,BT,,EN006,0.04886378924438693
107,KEI_EF04_EN006_cnv,KEI_KM03_EN006_cnv,BT,,EN006,0.08889681636285866
108,KEI_EF04_EN006_cnv,KEI_KM04_EN006_cnv,BT,,EN006,0.07232655183770939
109,KEI_EF04_EN006_cnv,KEI_KM05_EN006_cnv,BT,,EN006,0.06727659618318177
110,KEI_EF04_EN006_cnv,KEI_KM06_EN006_cnv,BT,,EN006,0.1948044758279192
111,KEI_EF04_EN007_cnv,KEI_EF05_EN007_cnv,E,,EN007,0.04101462909964913
112,KEI_EF04_EN007_cnv,KEI_EF07_EN007_cnv,E,,EN007,0.05241478026708029
113,KEI_EF04_EN007_cnv,KEI_EF08_EN007_cnv,E,,EN007,0.06074280262445673
114,KEI_EF04_EN007_cnv,KEI_EF09_EN007_cnv,E,,EN007,0.03712981222493363
115,KEI_EF04_EN007_cnv,KEI_EM01_EN007_cnv,E,,EN007,0.1073386685267607
116,KEI_EF04_EN007_cnv,KEI_EM02_EN007_cnv,E,,EN007,0.042272811938427586
117,KEI_EF04_EN007_cnv,KEI_EM03_EN007_cnv,E,,EN007,0.06451369220726462
118,KEI_EF04_EN007_cnv,KEI_EM05_EN007_cnv,E,,EN007,0.07208684278844192
119,KEI_EF04_EN007_cnv,KEI_EM06_EN007_cnv,E,,EN007,0.1013426614256822
120,KEI_EF04_EN007_cnv,KEI_KF01_EN007_cnv,BT,,EN007,0.17145493311235901
121,KEI_EF04_EN007_cnv,KEI_KF03_EN007_cnv,BT,,EN007,0.09401642828992587
122,KEI_EF04_EN007_cnv,KEI_KF04_EN007_cnv,BT,,EN007,0.08408269147489279
123,KEI_EF04_EN007_cnv,KEI_KF05_EN007_cnv,BT,,EN007,0.2973113779191647
124,KEI_EF04_EN007_cnv,KEI_KF06_EN007_cnv,BT,,EN007,0.1753364096937091
125,KEI_EF04_EN007_cnv,KEI_KM01_EN007_cnv,BT,,EN007,0.1264659521020721
126,KEI_EF04_EN007_cnv,KEI_KM03_EN007_cnv,BT,,EN007,0.1700769318831148
127,KEI_EF04_EN007_cnv,KEI_KM04_EN007_cnv,BT,,EN007,0.06585322381615305
128,KEI_EF04_EN007_cnv,KEI_KM05_EN007_cnv,BT,,EN007,0.05604638644617672
129,KEI_EF04_EN007_cnv,KEI_KM06_EN007_cnv,BT,,EN007,0.1861951795743773
130,KEI_EF04_EN008_cnv,KEI_EF05_EN008_cnv,E,,EN008,0.06648034697461885
131,KEI_EF04_EN008_cnv,KEI_EF07_EN008_cnv,E,,EN008,0.04212535114006707
132,KEI_EF04_EN008_cnv,KEI_EF08_EN008_cnv,E,,EN008,0.034259243714137064
133,KEI_EF04_EN008_cnv,KEI_EF09_EN008_cnv,E,,EN008,0.049565541946181936
134,KEI_EF04_EN008_cnv,KEI_EM01_EN008_cnv,E,,EN008,0.1218300018756794
135,KEI_EF04_EN008_cnv,KEI_EM02_EN008_cnv,E,,EN008,0.0987365008973196
136,KEI_EF04_EN008_cnv,KEI_EM03_EN008_cnv,E,,EN008,0.06812901642916196
137,KEI_EF04_EN008_cnv,KEI_EM05_EN008_cnv,E,,EN008,0.07490334821610975
138,KEI_EF04_EN008_cnv,KEI_EM06_EN008_cnv,E,,EN008,0.05748105781182983
139,KEI_EF04_EN008_cnv,KEI_KF01_EN008_cnv,BT,,EN008,0.1728832981986721
140,KEI_EF04_EN008_cnv,KEI_KF03_EN008_cnv,BT,,EN008,0.07711779091766037
