,speaker1,speaker2,grp,part,sent,Distance
0,KEI_EF04_EN001_cnv,KEI_EF05_EN001_cnv,E,,EN001,0.035160919332250136
1,KEI_EF04_EN001_cnv,KEI_EF07_EN001_cnv,E,,EN001,0.04824449209619987
2,KEI_EF04_EN001_cnv,KEI_EF08_EN001_cnv,E,,EN001,0.059097240866174836
3,KEI_EF04_EN001_cnv,KEI_EF09_EN001_cnv,E,,EN001,0.03228041467800278
4,KEI_EF04_EN001_cnv,KEI_EM01_EN001_cnv,E,,EN001,0.1310016149711639
5,KEI_EF04_EN001_cnv,KEI_EM02_EN001_cnv,E,,EN001,0.05427553734834164
6,KEI_EF04_EN001_cnv,KEI_EM03_EN001_cnv,E,,EN001,0.053631558227900965
7,KEI_EF04_EN001_cnv,KEI_EM05_EN001_cnv,E,,EN001,0.06530781915689872
8,KEI_EF04_EN001_cnv,KEI_EM06_EN001_cnv,E,,EN001,0.06872497250140171
9,KEI_EF04_EN001_cnv,KEI_KF01_EN001_cnv,BT,,EN001,0.1026363622924468
10,KEI_EF04_EN001_cnv,KEI_KF03_EN001_cnv,BT,,EN001,0.048639680786991935
11,KEI_EF04_EN001_cnv,KEI_KF04_EN001_cnv,BT,,EN001,0.0532311775976439
12,KEI_EF04_EN001_cnv,KEI_KF05_EN001_cnv,BT,,EN001,0.1187119307861413
13,KEI_EF04_EN001_cnv,KEI_KF06_EN001_cnv,BT,,EN001,0.1017296734037825
14,KEI_EF04_EN001_cnv,KEI_KM01_EN001_cnv,BT,,EN001,0.04906377486156793
15,KEI_EF04_EN001_cnv,KEI_KM03_EN001_cnv,BT,,EN001,0.0744652503306109
16,KEI_EF04_EN001_cnv,KEI_KM04_EN001_cnv,BT,,EN001,0.06322703410776906
17,KEI_EF04_EN001_cnv,KEI_KM05_EN001_cnv,BT,,EN001,0.08081760557563504
18,KEI_EF04_EN001_cnv,KEI_KM06_EN001_cnv,BT,,EN001,0.09875583908583528
19,KEI_EF04_EN002_cnv,KEI_EF05_EN002_cnv,E,,EN002,0.0416269198343314
20,KEI_EF04_EN002_cnv,KEI_EF07_EN002_cnv,E,,EN002,0.08911114711300508
21,KEI_EF04_EN002_cnv,KEI_EF08_EN002_cnv,E,,EN002,0.08454218017280457
22,KEI_EF04_EN002_cnv,KEI_EF09_EN002_cnv,E,,EN002,0.04538029527387389
23,KEI_EF04_EN002_cnv,KEI_EM01_EN002_cnv,E,,EN002,0.05983569046735309
24,KEI_EF04_EN002_cnv,KEI_EM02_EN002_cnv,E,,EN002,0.07497231020107321
25,KEI_EF04_EN002_cnv,KEI_EM03_EN002_cnv,E,,EN002,0.1373816261835541
26,KEI_EF04_EN002_cnv,KEI_EM05_EN002_cnv,E,,EN002,0.07781679234902455
27,KEI_EF04_EN002_cnv,KEI_EM06_EN002_cnv,E,,EN002,0.1092640881231047
28,KEI_EF04_EN002_cnv,KEI_KF01_EN002_cnv,BT,,EN002,0.2515515034507875
29,KEI_EF04_EN002_cnv,KEI_KF03_EN002_cnv,BT,,EN002,0.1105915552013819
30,KEI_EF04_EN002_cnv,KEI_KF04_EN002_cnv,BT,,EN002,0.1324283243864429
31,KEI_EF04_EN002_cnv,KEI_KF05_EN002_cnv,BT,,EN002,0.2042705433270039
32,KEI_EF04_EN002_cnv,KEI_KF06_EN002_cnv,BT,,EN002,0.1972999769820045
33,KEI_EF04_EN002_cnv,KEI_KM01_EN002_cnv,BT,,EN002,0.08888317131144513
34,KEI_EF04_EN002_cnv,KEI_KM03_EN002_cnv,BT,,EN002,0.2436753333975147
35,KEI_EF04_EN002_cnv,KEI_KM04_EN002_cnv,BT,,EN002,0.2386753182289154
36,KEI_EF04_EN002_cnv,KEI_KM05_EN002_cnv,BT,,EN002,0.07480600103606071
37,KEI_EF04_EN002_cnv,KEI_KM06_EN002_cnv,BT,,EN002,0.1998021107281901
38,KEI_EF04_EN003_cnv,KEI_EF05_EN003_cnv,E,,EN003,0.08061373958329779
39,KEI_EF04_EN003_cnv,KEI_EF07_EN003_cnv,E,,EN003,0.09376396973640076
40,KEI_EF04_EN003_cnv,KEI_EF09_EN003_cnv,E,,EN003,0.1269032069122915
41,KEI_EF04_EN003_cnv,KEI_EM01_EN003_cnv,E,,EN003,0.09300618677307107
